Primary Disability,Year,Enrolled Mid-Year,Left Mid-Year,Went to Del Val the Following Year,Went to Another School the Following Year,Likely Graduate
None,SY 14-15,84,62,330,65,189
Autism,SY 14-15,0,0,1,0,0
Emotional Disturbance,SY 14-15,4,4,5,2,0
Gifted without Disability,SY 14-15,0,2,3,0,0
Intellectual Disability,SY 14-15,0,0,4,1,0
Other Health Impairment,SY 14-15,3,0,8,0,0
Specific Learning Disability,SY 14-15,10,5,60,8,3
Speech or Language Impairment,SY 14-15,1,0,1,0,0
Visual Impairment including Blindness,SY 14-15,0,1,0,0,0
Orthopedic Impairment,SY 14-15,0,0,0,0,0
None,SY 15-16,49,71,226,36,168
Autism,SY 15-16,0,0,1,0,0
Emotional Disturbance,SY 15-16,2,3,5,1,1
Gifted without Disability,SY 15-16,0,0,3,0,2
Intellectual Disability,SY 15-16,0,1,3,1,0
Other Health Impairment,SY 15-16,1,1,6,1,3
Specific Learning Disability,SY 15-16,5,14,35,4,29
Speech or Language Impairment,SY 15-16,0,0,0,0,1
Visual Impairment including Blindness,SY 15-16,0,0,0,0,0
Orthopedic Impairment,SY 15-16,0,0,0,0,0
None,SY 16-17,43,69,NA,NA,166
Autism,SY 16-17,0,0,NA,NA,0
Emotional Disturbance,SY 16-17,3,6,NA,NA,4
Gifted without Disability,SY 16-17,0,1,NA,NA,6
Intellectual Disability,SY 16-17,1,0,NA,NA,0
Other Health Impairment,SY 16-17,2,3,NA,NA,2
Specific Learning Disability,SY 16-17,5,18,NA,NA,24
Speech or Language Impairment,SY 16-17,1,1,NA,NA,5
Visual Impairment including Blindness,SY 16-17,0,0,NA,NA,0
Orthopedic Impairment,SY 16-17,1,1,NA,NA,0
